Variable,Data Type,Values,
External Data Reference,Identifier,All different,
Gender,Binary,"F: Woman, H: Man",
Campus,String,Many,SD: Not identified 
programa nombre,String,Many,
nivel_descripción,String,Many,
escuela,String,Many,
años de graduación,Integer,Many,
Decada,String,Many,
lustro,String,Many,
AGE,Integer,Many,
nationality,String,Many,
living country,String,Many,
In which state do you live?,String,Many,
living country  before studies,String,Many,
living state  before studies,String,Many,
Which is the education level of your parents?  Father,String,Many,
Which is the education level of your parents?  Mother,String,Many,
Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Father,String,Many,
Which of the following best describes the occupation of your father and mother when you began your studies at Tecnologico de Monterrey?  Mother,String,Many,
"During your studies at Tecnologico de Monterrey, did you receive the support of any scholarship (scholarship is understood as economic resources, which you did not have to reimburse at the end of your program)",Binary,Yes and No,
What percentage of support did you receive from the scholarship?,Percentage,Many,
Have you completed postgraduate studies?,Binary,Yes and No,
"Por favor, háganos saber lo que estudió  CONTESTE TODAS LAS COLUMNAS HACIA LA DERECHA     Study level  Program 1",String,Many,
Please select the option that best describes your current situation  Selected Choice,String,Many,
How many hours do you usually work per week?,Integer,Many,
"Por favor conteste las siguientes preguntas de los puestos de trabajo que ha tenido.  Se entiende...  Position  2. Current job position (If you are not currently working, describe the last job position)",String,Many,
"Since graduating from Tecnológico de Monterrey, have you founded a company, either as part of the group of partners or as owner? By partner we mean those who contributed money and/or work to start the company",Binary,Yes and No,
Have you participated as an Advisor in any Advisory Boards of a company?,Binary,Yes and No,
"Since graduating from Tecnológico de Monterrey, have you founded a nonprofit organization, as part of the founding group or main founder?",Binary,Yes and No,
How many organizations have you founded?,Integer,Many,
How many are still in operation (actives)?,Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 1",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 2",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 3",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 4",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Area  organization 5",String,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 1",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 2",Integer,Many,
"Por favor, nos puede proporcionar la siguiente información de las principales organizaciones soci...  Foundation year  organization 3",Integer,Many,
