Response ID,FOLIO,80 aniversario,Programa,Nombre completo del último programa del que egresó:,Escuela,Nivel,Año en que egresó del último programa :,Decada,Quinteta,Campus,Usted es:,Promedio
R_10oweIfqXW4KBPq,IQAMTY1711,-,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,1960,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_spPSyIwPqY4qsFj,IMEMTY1720,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1962,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_1NCTLF2g7lBYKl2,MAMTY4089,-,MA,Maestría en Administración,Negocios,Maestría,2012,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_3pcmJNqKnz849aV,LAEMTY2129,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1965,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_1F3oSpEc9dOMIro,MACCM4401,-,MA,Maestría en Administración,Negocios,Maestría,1976,70´s,70´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_1NkSH3sq054LQzw,LCFMTY2843,-,LCF,Licenciado en Ciencias Físicas,Ingeniería y Ciencias,Profesional,1962,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_bjU8JFwguZ3WP5v,IMAMTY1358,R_w4z7c6ZTk9SaovL,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1964,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_27dQn0u2gq9WlXF,CPMTY692,R_1HrbVIC87CoCbkJ,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1962,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_XH6jjvSyDJN1Pa1,LAESAL8143,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,2006,00´s,00´s - 2,ITESM Campus Saltillo,Mujer,-
R_3Q5LBmKDNMbQuJP,IMEMTY5723,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1972,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_2YycJIkHo0q7oxX,IAMTY627,-,IA,Ingeniero Agrónomo ,Ingeniería y Ciencias,Profesional,1962,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_2ASEKJKxI2VOhPU,LAEMTY2776,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1966,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_1MX5mUeh5A8SnJL,CPMTY5173,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1968,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_Y6biucz5wBiuDnz,LECMTY5839,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,1973,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_24AinNOSZlb2Gb0,CPMTY2284,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1965,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
